*unit,-,,,,,,,,,indicator,m,m,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*min,-,,,,,,,,,0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*max,-,,,,,,,,,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*note,-,,,,,,,,,Width/Depth (0)  Perimeter/Area (1),"preliminary, use FA","preliminary, use FA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basement Windows,,,
*HOT2XP_header,File Name,Annual DHW consumption L,Dryer GJ,Other Elec GJ,Stove  GJ,Location indicator,Adults,Children,Employment Ratio,Dimensions,Width,Depth,# of Floors,Foundation Type,Attachment,Front Orientation,Type of roof,Code for ceiling between main and attic,Code for exposed ceilings and flat roofs,Main walls code,Exposed floor code,Floor above code,Slab code,Slab on grade code,Structure Type,Interior coverage,Exterior coverage,Slab coverage,Wall code,Slab coverage,Edge insulated,Skirt,Slab on Gr coverage,Slab Edge insulated,Slab Skirt,Stove,Dryer,Main Floor Heating T,Main Floor Cooling T,Basement cooled,Basement heated,Separate T/S,Heating System Fuel,Efficiency type,Efficiency value,Heating System Type,H/S Capacity,DHW fuel,DHW system type,DHW EF,Vent Sys,Supply Flow,Exhaust Flow,HRV Eff 0,HRV Eff -25,Cooling Sys,COP/SEER,Value,FA1,FA2,FA3,FA4,FA5,FA6,WH1,WH2,WH3,WH4,WH5,WH6,HBWAG,FCA,SCA,EFA,Door1 count,Type,Width,Height,Door2 count,Type,Width,Height,Door3 count,Type,Width,Height,nFront,nRight,nBack,nLeft,Farea,Rarea,Barea,Larea,FavouriteWindow,Presence: Front,Presence: Right,Presence: Back,Presence: Left
*header,file_name,DHW_LpY,AL-Dryer_GJpY,AL-Other_GJpY,AL-Stove_GJpY,Rural_Suburb_Urban,Num_of_Adults,Num_of_Children,Employment_Ratio,exterior_dimension_indicator,exterior_width,exterior_depth,main_floors_count,foundation_type,attachment_type,front_orientation,roof_type,ceiling_code,ceiling_exposed_code,main_wall_code,exposed_floor_code,crawl_floor_above_code,crawl_slab_code,slab_on_grade_code,bsmt_type,bsmt_interior_insul_coverage,bsmt_exterior_insul_coverage,bsmt_slab_insul_coverage,crawl_wall_code,crawl_slab_coverage,crawl_edge_insulated,crawl_skirt,slab_on_grade_coverage,slab_on_grade_edge_insul,slab_on_grade_skirt,stove_fuel_use,dryer_fuel_used,main_floor_heating_temp,main_floor_cooling_temp,bsmt_cooled,bsmt_heated,bsmt_seperate_thermostat,heating_energy_src,heating_eff_type,heating_eff,heating_equip_type,heating_capacity,DHW_energy_src,DHW_equip_type,DHW_eff,vent_equip_type,vent_supply_flowrate,vent_exhaust_flowrate,HRV_eff_0_C,HRV_eff_-25_C,cooling_equip_type,cooling_COP_SEER_selector,cooling_COP_SEER_value,bsmt_floor_area,crawl_floor_area,slab_on_grade_floor_area,main_floor_area_1,main_floor_area_2,main_floor_area_3,bsmt_wall_height,crawl_wall_height,slab_on_grade_wall_height,main_wall_height_1,main_wall_height_2,main_wall_height_3,bsmt_wall_height_above_grade,ceiling_flat_area,ceiling_sloped_area,exposed_floor_area,door_count_1,door_type_1,door_width_1,door_height_1,door_count_2,door_type_2,door_width_2,door_height_2,door_count_3,door_type_3,door_width_3,door_height_3,wndw_count_front,wndw_count_right,wndw_count_back,wndw_count_left,wndw_area_front,wndw_area_right,wndw_area_back,wndw_area_left,wndw_favourite_code,bsmt_front_wndw,bsmt_right_wndw,bsmt_back_wndw,bsmt_left_wndw
*data,A11000sf.HDF,82125,1.3,23.58,1.4,2,2,2,1,0,4.9,10.34,1,1,1,5,3,2403801000,2403801180,1211341121,3231206620,3600000000,0,0,1,2,2,5,0,1,2,2,1,2,2,1,1,21,25,100,19,1,2,1,92,9,6,1,2,0.82171,3,7.1,7.1,0,0,4,1,0,48.22,0,0,42.88,0,0,2.46,0,0,2.46,0,0,0.74,42.88,0,0,2,5,0.91,2.1,0,0,0,0,0,0,0,0,2,2,3,3,3.3445,3.623217,7.05941,9.66192,233204,0,1,1,1
